open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,name,exchange_code,asset_type,price_currency,symbol,exchange,date
254.67,259.24,253.95,258.02,49107000.0,259.24,253.95,258.02,254.665,49155614.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-03 00:00:00+00:00
256.58,258.18,254.15,257.13,42597200.0,258.18,254.15,257.13,256.575,42630239.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-02 00:00:00+00:00
255.04,258.79,254.95,255.45,45889562.0,258.79,254.93,255.45,255.04,48713940.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-10-01 00:00:00+00:00
254.86,255.92,253.11,254.63,37666900.0,255.919,253.11,254.63,254.855,37704259.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-30 00:00:00+00:00
254.56,255.0,253.01,254.43,40091100.0,255.0,253.01,254.43,254.56,40127687.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-29 00:00:00+00:00
254.1,257.6,253.78,255.46,46045700.0,257.6,253.78,255.46,254.095,46076258.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-26 00:00:00+00:00
253.21,257.17,251.71,256.87,55061300.0,257.17,251.712,256.87,253.205,55202075.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-25 00:00:00+00:00
255.22,255.74,251.04,252.31,42265200.0,255.74,251.04,252.31,255.22,42303710.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-24 00:00:00+00:00
255.88,257.34,253.58,254.43,60232300.0,257.34,253.58,254.43,255.875,60275187.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-23 00:00:00+00:00
248.3,256.64,248.12,256.08,105413200.0,256.64,248.12,256.08,248.3,105517416.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-22 00:00:00+00:00
241.23,246.3,240.21,245.5,163470300.0,246.3,240.2106,245.5,241.225,163741314.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-19 00:00:00+00:00
239.97,241.2,236.65,237.88,44219200.0,241.2,236.65,237.88,239.97,44249576.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-18 00:00:00+00:00
238.97,240.1,237.73,238.99,46435200.0,240.1,237.7301,238.99,238.97,46508017.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-17 00:00:00+00:00
237.18,241.22,236.3235,238.15,61246555.0,241.22,236.3235,238.15,237.175,63421099.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-16 00:00:00+00:00
237.0,238.19,235.03,236.7,42583729.0,238.19,235.03,236.7,237.0,42699524.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-15 00:00:00+00:00
229.22,234.51,229.02,234.07,55776500.0,234.51,229.02,234.07,229.22,55824216.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-12 00:00:00+00:00
226.88,230.45,226.65,230.03,50150900.0,230.45,226.65,230.03,226.875,50208578.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-11 00:00:00+00:00
232.19,232.42,225.95,226.79,83321600.0,232.42,225.95,226.79,232.185,83440810.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-10 00:00:00+00:00
237.0,238.78,233.36,234.35,66153200.0,238.7805,233.36,234.35,237.0,66313918.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-09 00:00:00+00:00
239.3,240.15,236.34,237.88,48959400.0,240.15,236.34,237.88,239.3,48999495.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-08 00:00:00+00:00
240.0,241.32,238.49,239.69,54837300.0,241.32,238.4901,239.69,239.995,54870397.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-05 00:00:00+00:00
238.45,239.9,236.74,239.78,47504000.0,239.8999,236.74,239.78,238.45,47549429.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-04 00:00:00+00:00
237.21,238.85,234.36,238.47,66302400.0,238.85,234.36,238.47,237.21,66061716.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-03 00:00:00+00:00
229.25,230.85,226.97,229.72,43804400.0,230.85,226.97,229.72,229.25,44075638.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-09-02 00:00:00+00:00
232.51,233.38,231.37,232.14,39418437.0,233.38,231.37,232.14,232.51,39418437.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-29 00:00:00+00:00
230.81,233.41,229.335,232.56,37892960.0,233.41,229.335,232.56,230.82,38074700.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-28 00:00:00+00:00
228.61,230.9,228.26,230.49,31200700.0,230.9,228.26,230.49,228.61,31259513.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-27 00:00:00+00:00
226.87,229.49,224.69,229.31,54524400.0,229.49,224.69,229.31,226.87,54575107.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-26 00:00:00+00:00
226.48,229.3,226.23,227.16,30965700.0,229.3,226.23,227.16,226.48,30983133.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-25 00:00:00+00:00
226.17,229.09,225.41,227.76,42445300.0,229.09,225.41,227.76,226.17,42477811.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-22 00:00:00+00:00
226.27,226.52,223.78,224.9,30593700.0,226.52,223.7804,224.9,226.27,30621249.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-21 00:00:00+00:00
229.98,230.47,225.77,226.01,42190600.0,230.47,225.77,226.01,229.98,42263865.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-20 00:00:00+00:00
231.28,232.87,229.35,230.56,39320800.0,232.87,229.35,230.56,231.275,39402564.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-19 00:00:00+00:00
231.78,233.12,230.11,230.89,36051605.0,233.12,230.11,230.89,231.7,37476188.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-18 00:00:00+00:00
234.0,234.28,229.34,231.59,56010500.0,234.28,229.335,231.59,234.0,56038657.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-15 00:00:00+00:00
234.06,235.12,230.85,232.78,51857600.0,235.12,230.85,232.78,234.055,51916275.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-14 00:00:00+00:00
231.07,235.0,230.43,233.33,69833200.0,235.0,230.43,233.33,231.07,69878546.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-13 00:00:00+00:00
228.01,230.8,227.07,229.65,55626200.0,230.8,227.07,229.65,228.005,55672301.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-12 00:00:00+00:00
227.92,229.56,224.76,227.18,61725300.0,229.56,224.76,227.18,227.92,61806132.0,1.0,0.26,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-11 00:00:00+00:00
220.83,231.0,219.25,229.35,113696100.0,231.0,219.25,229.35,220.83,113853967.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-08 00:00:00+00:00
218.88,220.85,216.58,220.03,89932900.0,220.85,216.58,220.03,218.875,90224834.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-07 00:00:00+00:00
205.63,215.38,205.59,213.25,106498000.0,215.38,205.59,213.25,205.63,108483103.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-06 00:00:00+00:00
203.4,205.34,202.16,202.92,44106200.0,205.34,202.16,202.92,203.4,44155079.0,1.0,0.0,Apple Inc,NASDAQ,Stock,USD,AAPL,XNAS,2025-08-05 00:00:00+00:00
